"SAGDP2N Gross domestic product (GDP) by state 1/"
"(Millions of current dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2012","2016"
"00000","United States *","1","All industry total",16197007.0,18745075.0
"00000","United States *","2","  Private industries",14037519.0,16360179.0
"00000","United States *","3","    Agriculture, forestry, fishing and hunting",179573.0,166571.0
"00000","United States *","4","      Farms",148939.0,130639.0
"00000","United States *","5","      Forestry, fishing, and related activities",30634.0,35932.0
"00000","United States *","6","    Mining, quarrying, and oil and gas extraction",358798.0,218027.0
"00000","United States *","7","      Oil and gas extraction",223767.0,138568.0
"00000","United States *","8","      Mining (except oil and gas)",66648.0,47348.0
"00000","United States *","9","      Support activities for mining",68383.0,32111.0
"00000","United States *","10","    Utilities",279651.0,301745.0
"00000","United States *","11","    Construction",553419.0,746890.0
"00000","United States *","12","    Manufacturing",1927057.0,2099736.0
"00000","United States *","13","      Durable goods manufacturing",1061711.0,1186362.0
"00000","United States *","14","        Wood product manufacturing",25751.0,35293.0
"00000","United States *","15","        Nonmetallic mineral product manufacturing",42571.0,57422.0
"00000","United States *","16","        Primary metal manufacturing",65509.0,56805.0
"00000","United States *","17","        Fabricated metal product manufacturing",137623.0,145918.0
"00000","United States *","18","        Machinery manufacturing",152490.0,143639.0
"00000","United States *","19","        Computer and electronic product manufacturing",240441.0,267723.0
"00000","United States *","20","        Electrical equipment, appliance, and component manufacturing",51991.0,58394.0
"00000","United States *","21","        Motor vehicles, bodies and trailers, and parts manufacturing",115313.0,155242.0
"00000","United States *","22","        Other transportation equipment manufacturing",126465.0,148235.0
"00000","United States *","23","        Furniture and related product manufacturing",22386.0,30260.0
"00000","United States *","24","        Miscellaneous manufacturing",81171.0,87429.0
"00000","United States *","25","      Nondurable goods manufacturing",865346.0,913375.0
"00000","United States *","26","        Food and beverage and tobacco product manufacturing",219258.0,264259.0
"00000","United States *","27","        Textile mills and textile product mills",15936.0,18365.0
"00000","United States *","28","        Apparel, leather, and allied product manufacturing",9996.0,9612.0
"00000","United States *","29","        Paper manufacturing",52980.0,58380.0
"00000","United States *","30","        Printing and related support activities",38345.0,40968.0
"00000","United States *","31","        Petroleum and coal products manufacturing",157974.0,85009.0
"00000","United States *","32","        Chemical manufacturing",303364.0,357028.0
"00000","United States *","33","        Plastics and rubber products manufacturing",67493.0,79754.0
"00000","United States *","34","    Wholesale trade",997353.0,1133629.0
"00000","United States *","35","    Retail trade",908415.0,1052843.0
